filename,makespan,time,ub
3128_10j_5m,109.0,1800.2473330497742,109.0
3129_10j_5m,102.0,1800.264607667923,102.0
3130_10j_5m,97.0,1800.2637765407562,97.0
3131_10j_5m,105.0,1800.2838430404663,105.0
3133_10j_5m,96.0,1800.2780001163483,96.0
3134_10j_5m,97.0,1800.3094358444214,97.0
3135_10j_5m,97.0,1800.3306427001953,97.0
3136_10j_5m,105.0,1800.301386833191,105.0
3137_10j_5m,90.0,1800.2391996383667,90.0
3138_10j_5m,93.0,1800.2358627319336,93.0
3139_10j_5m,102.0,1800.2320795059204,102.0
3140_10j_5m,93.0,1800.241719007492,93.0
3141_10j_5m,106.0,1800.2474863529205,106.0
3142_10j_5m,106.0,1800.219974040985,106.0
3144_10j_5m,110.0,1800.2194712162018,110.0
3145_10j_5m,83.0,1800.2522640228271,83.0
3146_10j_5m,115.0,1800.2414162158966,115.0
3147_10j_5m,84.0,1800.2542266845703,84.0
3148_10j_5m,103.0,1800.223711013794,103.0
3149_10j_5m,88.0,1800.2207169532776,88.0
3150_10j_5m,96.0,1800.2386102676392,96.0
3151_10j_5m,111.0,1800.2304306030273,111.0
3152_10j_5m,103.0,1800.2289743423462,103.0
3153_10j_5m,109.0,1800.2534003257751,109.0
3155_10j_5m,105.0,1800.20187997818,105.0
3156_10j_5m,103.0,1800.2427062988281,103.0
3157_10j_5m,107.0,1800.2257874011993,107.0
3158_10j_5m,91.0,1800.2390201091766,91.0
3159_10j_5m,96.0,1800.237342119217,96.0
3200_10j_5m,96.0,1800.227816581726,96.0
3201_10j_5m,101.0,1800.328824043274,101.0
3202_10j_5m,105.0,1800.2916836738586,105.0
3203_10j_5m,99.0,1800.2974035739899,99.0
3205_10j_5m,91.0,1800.261156797409,91.0
3206_10j_5m,100.0,1800.2105658054352,100.0
3207_10j_5m,97.0,1800.2784962654114,97.0
3208_10j_5m,84.0,1800.243968963623,84.0
3209_10j_5m,90.0,1800.2354626655579,90.0
3210_10j_5m,110.0,1800.2527167797089,110.0
3211_10j_5m,91.0,1800.2233698368073,91.0
3212_10j_5m,87.0,1800.2019970417023,87.0
